frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
0,3,3,3,0,0,0
1,3,3,3,0,0,0
2,3,3,3,0,0,0
3,3,3,3,0,0,0
4,4,4,4,0,0,0
5,4,4,4,0,0,0
6,4,4,4,0,0,0
7,4,4,4,0,0,0
8,4,4,4,0,0,0
9,4,4,4,0,0,0
10,4,4,4,0,0,0
11,4,4,4,0,0,0
12,4,4,4,0,0,0
13,4,4,4,0,0,0
14,4,4,4,0,0,0
15,4,4,4,0,0,0
16,4,4,4,0,0,0
17,4,4,4,0,0,0
18,4,4,4,0,0,0
19,4,4,4,0,0,0
20,4,4,4,0,0,0
21,4,4,4,0,0,0
22,4,4,4,0,0,0
23,4,4,4,0,0,0
24,4,4,4,0,0,0
25,4,4,4,0,0,0
26,4,4,4,0,0,0
27,4,4,4,0,0,0
28,4,4,4,0,0,0
29,4,4,4,0,0,0
30,4,4,4,0,0,0
31,4,4,4,0,0,0
32,4,4,4,0,0,0
33,4,4,4,0,0,0
34,4,4,4,0,0,0
35,4,4,4,0,0,0
36,4,4,4,0,0,0
37,4,4,4,0,0,0
38,4,4,4,0,0,0
39,4,4,4,0,0,0
40,4,4,4,0,0,0
41,4,4,4,0,0,0
42,4,4,4,0,0,0
43,4,4,4,0,0,0
44,4,4,4,0,0,0
45,4,4,4,0,0,0
46,4,4,4,0,0,0
47,4,4,4,0,0,0
48,4,4,4,0,0,0
49,4,4,4,0,0,0
50,4,4,4,0,0,0
51,4,4,4,0,0,0
52,4,4,4,0,0,0
53,4,4,4,0,0,0
54,4,4,4,0,0,0
55,4,4,4,0,0,0
56,4,4,4,0,0,0
57,4,4,4,0,0,0
58,4,4,4,0,0,0
59,4,4,4,0,0,0
60,4,4,4,0,0,0
61,4,4,4,0,0,0
62,4,4,4,0,0,0
63,4,4,4,0,0,0
64,4,4,4,0,0,0
65,4,4,4,0,0,0
66,4,4,4,0,0,0
67,4,4,4,0,0,0
68,4,4,4,0,0,0
69,6,6,6,0,0,0
70,6,6,6,0,0,0
71,6,6,6,0,0,0
72,6,6,6,0,0,0
73,8,8,8,0,0,0
74,8,8,8,0,0,0
75,8,8,8,0,0,0
76,8,8,8,0,0,0
77,8,8,8,0,0,0
78,8,8,8,0,0,0
79,8,8,8,0,0,0
80,8,8,8,0,0,0
81,8,8,8,0,0,0
82,8,8,8,0,0,0
83,8,8,8,0,0,0
84,8,8,8,0,0,0
85,8,8,8,0,0,0
86,8,8,8,0,0,0
87,8,8,8,0,0,0
88,8,8,8,0,0,0
89,8,8,8,0,0,0
90,8,8,8,0,0,0
91,8,8,8,0,0,0
92,8,8,8,0,0,0
93,8,8,8,0,0,0
94,8,8,8,0,0,0
95,8,8,8,0,0,0
96,8,8,8,0,0,0
97,8,8,8,0,0,0
98,8,8,8,0,0,0
99,8,8,8,0,0,0
