frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
0,2,2,2,0,0,0
1,2,2,2,0,0,0
2,2,2,2,0,0,0
3,2,2,2,0,0,0
4,2,2,2,0,0,0
5,2,2,2,0,0,0
6,2,2,2,0,0,0
7,2,2,2,0,0,0
8,2,2,2,0,0,0
9,2,2,2,0,0,0
10,2,2,2,0,0,0
11,2,2,2,0,0,0
12,2,2,2,0,0,0
13,2,2,2,0,0,0
14,2,2,2,0,0,0
15,2,2,2,0,0,0
16,2,2,2,0,0,0
17,2,2,2,0,0,0
18,2,2,2,0,0,0
19,2,2,2,0,0,0
20,2,2,2,0,0,0
21,2,2,2,0,0,0
22,2,2,2,0,0,0
23,2,2,2,0,0,0
24,2,2,2,0,0,0
25,2,2,2,0,0,0
26,2,2,2,0,0,0
27,2,2,2,0,0,0
28,2,2,2,0,0,0
29,2,2,2,0,0,0
30,2,2,2,0,0,0
31,2,2,2,0,0,0
32,2,2,2,0,0,0
33,2,2,2,0,0,0
34,2,2,2,0,0,0
35,2,2,2,0,0,0
36,3,3,3,0,0,0
37,3,3,3,0,0,0
38,3,3,3,0,0,0
39,3,3,3,0,0,0
40,3,3,3,0,0,0
41,3,3,3,0,0,0
42,3,3,3,0,0,0
43,3,3,3,0,0,0
44,4,4,4,0,0,0
45,4,4,4,0,0,0
46,4,4,4,0,0,0
47,4,4,4,0,0,0
48,4,4,4,0,0,0
49,4,4,4,0,0,0
50,4,4,4,0,0,0
51,4,4,4,0,0,0
52,4,4,4,0,0,0
53,4,4,4,0,0,0
54,4,4,4,0,0,0
55,4,4,4,0,0,0
56,4,4,4,0,0,0
57,4,4,4,0,0,0
58,4,4,4,0,0,0
59,4,4,4,0,0,0
60,4,4,4,0,0,0
61,4,4,4,0,0,0
62,4,4,4,0,0,0
63,4,4,4,0,0,0
64,4,4,4,0,0,0
65,4,4,4,0,0,0
66,4,4,4,0,0,0
67,4,4,4,0,0,0
68,4,4,4,0,0,0
69,4,4,4,0,0,0
70,4,4,4,0,0,0
71,4,4,4,0,0,0
72,4,4,4,0,0,0
73,4,4,4,0,0,0
74,4,4,4,0,0,0
75,4,4,4,0,0,0
76,4,4,4,0,0,0
77,4,4,4,0,0,0
78,4,4,4,0,0,0
79,4,4,4,0,0,0
80,4,4,4,0,0,0
81,4,4,4,0,0,0
82,4,4,4,0,0,0
83,4,4,4,0,0,0
84,4,4,4,0,0,0
85,4,4,4,0,0,0
86,4,4,4,0,0,0
87,4,4,4,0,0,0
88,4,4,4,0,0,0
89,4,4,4,0,0,0
90,4,4,4,0,0,0
91,4,4,4,0,0,0
92,4,4,4,0,0,0
93,4,4,4,0,0,0
94,4,4,4,0,0,0
95,4,4,4,0,0,0
96,4,4,4,0,0,0
97,4,4,4,0,0,0
98,4,4,4,0,0,0
99,4,4,4,0,0,0
100,4,4,4,0,0,0
101,4,4,4,0,0,0
102,4,4,4,0,0,0
103,4,4,4,0,0,0
104,4,4,4,0,0,0
105,4,4,4,0,0,0
106,6,6,6,0,0,0
107,6,6,6,0,0,0
108,6,6,6,0,0,0
109,6,6,6,0,0,0
110,6,6,6,0,0,0
111,6,6,6,0,0,0
112,6,6,6,0,0,0
113,6,6,6,0,0,0
114,6,6,6,0,0,0
115,7,7,7,0,0,0
116,8,8,8,0,0,0
117,8,8,8,0,0,0
118,8,8,8,0,0,0
119,8,8,8,0,0,0
120,8,8,8,0,0,0
121,8,8,8,0,0,0
122,8,8,8,0,0,0
123,8,8,8,0,0,0
124,8,8,8,0,0,0
125,8,8,8,0,0,0
126,8,8,8,0,0,0
127,8,8,8,0,0,0
128,8,8,8,0,0,0
129,8,8,8,0,0,0
130,8,8,8,0,0,0
131,8,8,8,0,0,0
132,8,8,8,0,0,0
133,8,8,8,0,0,0
134,8,8,8,0,0,0
135,8,8,8,0,0,0
136,8,8,8,0,0,0
137,8,8,8,0,0,0
138,8,8,8,0,0,0
139,8,8,8,0,0,0
140,8,8,8,0,0,0
141,8,8,8,0,0,0
142,8,8,8,0,0,0
143,8,8,8,0,0,0
144,8,8,8,0,0,0
145,8,8,8,0,0,0
146,8,8,8,0,0,0
147,8,8,8,0,0,0
148,8,8,8,0,0,0
149,8,8,8,0,0,0
150,8,8,8,0,0,0
151,8,8,8,0,0,0
152,8,8,8,0,0,0
153,8,8,8,0,0,0
154,8,8,8,0,0,0
155,8,8,8,0,0,0
156,8,8,8,0,0,0
157,8,8,8,0,0,0
158,8,8,8,0,0,0
159,8,8,8,0,0,0
160,8,8,8,0,0,0
161,8,8,8,0,0,0
