frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
0,3,3,3,0,0,0
1,3,3,3,0,0,0
2,3,3,3,0,0,0
3,3,3,3,0,0,0
4,3,3,3,0,0,0
5,3,3,3,0,0,0
6,3,3,3,0,0,0
7,3,3,3,0,0,0
8,3,3,3,0,0,0
9,4,4,4,0,0,0
10,4,4,4,0,0,0
11,4,4,4,0,0,0
12,4,4,4,0,0,0
13,4,4,4,0,0,0
14,4,4,4,0,0,0
15,4,4,4,0,0,0
16,4,4,4,0,0,0
17,4,4,4,0,0,0
18,4,4,4,0,0,0
19,4,4,4,0,0,0
20,4,4,4,0,0,0
21,4,4,4,0,0,0
22,4,4,4,0,0,0
23,4,4,4,0,0,0
24,4,4,4,0,0,0
25,4,4,4,0,0,0
26,4,4,4,0,0,0
27,4,4,4,0,0,0
28,4,4,4,0,0,0
29,4,4,4,0,0,0
30,4,4,4,0,0,0
31,4,4,4,0,0,0
32,4,4,4,0,0,0
33,4,4,4,0,0,0
34,4,4,4,0,0,0
35,4,4,4,0,0,0
36,4,4,4,0,0,0
37,4,4,4,0,0,0
38,4,4,4,0,0,0
39,4,4,4,0,0,0
40,4,4,4,0,0,0
41,4,4,4,0,0,0
42,4,4,4,0,0,0
43,4,4,4,0,0,0
44,4,4,4,0,0,0
45,4,4,4,0,0,0
46,4,4,4,0,0,0
47,4,4,4,0,0,0
48,4,4,4,0,0,0
49,4,4,4,0,0,0
50,4,4,4,0,0,0
51,4,4,4,0,0,0
52,4,4,4,0,0,0
53,4,4,4,0,0,0
54,4,4,4,0,0,0
55,4,4,4,0,0,0
56,4,4,4,0,0,0
57,4,4,4,0,0,0
58,4,4,4,0,0,0
59,4,4,4,0,0,0
60,4,4,4,0,0,0
61,4,4,4,0,0,0
62,4,4,4,0,0,0
63,4,4,4,0,0,0
64,4,4,4,0,0,0
65,4,4,4,0,0,0
66,4,4,4,0,0,0
67,4,4,4,0,0,0
68,4,4,4,0,0,0
69,4,4,4,0,0,0
70,4,4,4,0,0,0
71,4,4,4,0,0,0
72,4,4,4,0,0,0
73,4,4,4,0,0,0
74,4,4,4,0,0,0
75,4,4,4,0,0,0
76,4,4,4,0,0,0
77,5,5,5,0,0,0
78,5,5,5,0,0,0
79,5,5,5,0,0,0
80,5,5,5,0,0,0
81,5,5,5,0,0,0
82,5,5,5,0,0,0
83,6,6,6,0,0,0
84,6,6,6,0,0,0
85,6,6,6,0,0,0
86,6,6,6,0,0,0
87,6,6,6,0,0,0
88,6,6,6,0,0,0
89,6,6,6,0,0,0
90,6,6,6,0,0,0
91,6,6,6,0,0,0
92,6,6,6,0,0,0
93,6,6,6,0,0,0
94,6,6,6,0,0,0
95,6,6,6,0,0,0
96,6,6,6,0,0,0
97,7,7,7,0,0,0
98,7,7,7,0,0,0
99,7,7,7,0,0,0
