frame,n_seg,n_tra,one_to_one,tra_unmatched,seg_unmatched,ambiguous
61,1,1,1,0,0,0
74,1,1,1,0,0,0
86,1,1,1,0,0,0
138,1,1,1,0,0,0
140,1,1,1,0,0,0
157,1,1,1,0,0,0
162,1,1,1,0,0,0
183,1,1,1,0,0,0
205,1,1,1,0,0,0
228,1,1,1,0,0,0
234,1,1,1,0,0,0
266,1,1,1,0,0,0
346,1,1,1,0,0,0
415,1,1,1,0,0,0
456,1,1,1,0,0,0
459,1,1,1,0,0,0
460,1,1,1,0,0,0
464,1,1,1,0,0,0
502,1,1,1,0,0,0
548,1,1,1,0,0,0
597,1,1,1,0,0,0
619,1,1,1,0,0,0
650,1,1,1,0,0,0
740,1,1,1,0,0,0
750,1,1,1,0,0,0
781,1,1,1,0,0,0
807,1,1,1,0,0,0
815,1,1,1,0,0,0
900,1,1,1,0,0,0
902,1,1,1,0,0,0
911,1,1,1,0,0,0
934,2,2,2,0,0,0
992,2,2,2,0,0,0
1014,4,4,4,0,0,0
1029,4,4,4,0,0,0
1066,4,4,4,0,0,0
1103,7,7,7,0,0,0
1136,8,8,8,0,0,0
1137,8,8,8,0,0,0
1140,8,8,8,0,0,0
1186,10,10,10,0,0,0
1196,10,10,10,0,0,0
1200,10,10,10,0,0,0
1203,11,11,11,0,0,0
1221,14,14,14,0,0,0
1246,16,16,16,0,0,0
1254,16,16,16,0,0,0
1267,16,16,16,0,0,0
1301,18,18,18,0,0,0
1322,18,18,18,0,0,0
